views,title,channel,url
6188809,"도경완 장윤정이 고딩엄빠가 될 수 없었던 이유","쥰픽",https://www.youtube.com/shorts/GA3nnldMUSY
5639268,"홍명보 비난받자 아내 조수미씨가 남긴 한마디","스타포커스",https://www.youtube.com/shorts/PZWFgidVZXo
1685722,"우타고코로 리애가 일본에 간절히 데려오고 싶어한 한국 가수의 정체","그날의 핫이슈",https://www.youtube.com/shorts/-bBq5knhIB4
4388848,"공짜 점수를 거부한 탁구 선수","모먼트로그",https://www.youtube.com/shorts/r1xkZsuZASw
1536612,"홍수환 &quot;아는 사람은 다알어&quot; 옥희. #shorts","연예한방뉴스",https://www.youtube.com/shorts/ZrfV-8unsdA
1021283,"한때 행사섭외 1순위였던 홍진영이 타는 차 가격이","울지마트로트",https://www.youtube.com/shorts/1cI-_--DxYg
1115030,"월드컵 탈락 사퇴한 홍명보 이경규의 뼈때린 한마디","오늘핫이슈",https://www.youtube.com/shorts/t16Yl6cU9ck
1113186,"도경완 엄마의 자랑거리는? 장윤정","쥰픽",https://www.youtube.com/shorts/ZanlSIspBSc
3549067,"나이트 웨이터에서 수백억 자산가가 되기까지 #소지섭 #김부장 #미안하다사랑한다 #차무혁 #주군의태양","@휴먼터치",https://www.youtube.com/shorts/18oomf3pSc0
1228964,"대한민국 1등 미녀도시?  대구 미녀 스타 TOP7","모든정보통",https://www.youtube.com/shorts/9KZsTwU0YK8
2034475,"정관수술을 뚫고 태어난 배우  #최다니엘 #구기동프렌즈 #연예인스토리 #감동실화","초록색기저귀",https://www.youtube.com/shorts/jxmAWDjFVP4
3219508,"결혼식장 위약금 아까워서 결혼하고 5년차에 갈라선 안타까운 연예인 부부 #연예계이슈 #연예인 #이슈","이슈찾아요",https://www.youtube.com/shorts/PupT69KLO5M
3286232,"장윤정에게 도경완 스펙 자랑하던 집안 어른의 최후","쥰픽",https://www.youtube.com/shorts/OQqj0WRdb0U
1702944,"홍명보 아내 조수미씨가 보인 놀라운 입장","스타집",https://www.youtube.com/shorts/KWAaFDvTk5U
1366283,"논란된 결혼 유튜버 근황","이게맏나",https://www.youtube.com/shorts/ziERdAPFXXU
7029571,"스타 남편보다 더 화제 된 재산 규모 미친 아내 TOP7","모든정보통",https://www.youtube.com/shorts/f_od_H3Wdt4
4477325,"가족들 다 죽고 뇌출혈로 쓰러진 연예인! #이슈 #연예인 #연예뉴스","이해불가 | 연예계 이슈",https://www.youtube.com/shorts/KZcz3MbAFH8
2033782,"27억 빚 남긴 전남편과 같은 드라마에서 조우한 쿨한 톱배우! #연예계이슈 #연예인 #이슈","이슈찾아요",https://www.youtube.com/shorts/mq9natD18Ow
7267278,"생후 4개월 아들의 간암 판정 그 후 4년 #최필립 #소아암 #슈돌 #금이야옥이야 #간암","@휴먼터치",https://www.youtube.com/shorts/LTWJxM77a1Q
1845282,"최강희가 무릎 꿇고 지켜냈던 남자 연예인 #연예계이슈 #연예인 #최강희","이슈명탐정",https://www.youtube.com/shorts/u6-W2B8G-BI
6501817,"월드컵 졸전 이후 제일 화난 남자","스타등용문",https://www.youtube.com/shorts/w2h6S4QvG_A
1489682,"자식 직업 미쳐버린 반전 연예인TOP7","모든정보통",https://www.youtube.com/shorts/oYdA3qIqaCg
1142063,"아내 지인과 바람 펴놓고 방송 나와 자랑한 뻔뻔한 톱스타! #연예계이슈 #연예인 #이슈","이슈찾아요",https://www.youtube.com/shorts/jAfttRs_RxU
1091591,"김호중 출소 후 첫 행선지 무대 아니였다","안방소식통",https://www.youtube.com/shorts/QIaEyT8PnSE
4878696,"홍명보의 실체 밝힌 차범근의 20년만에 침묵깬 한마디","스타포커스",https://www.youtube.com/shorts/7clMcVnA_Ws
3301133,"7살에 엄마와 생이별 후 500억 자산가가 되었지만.. #토니안 #에이치오티 #미운우리새끼 #미우새 #안승호","@휴먼터치",https://www.youtube.com/shorts/YfoSX8OgLVw
1217817,"13년 키운 아들 셋에게 재혼한다고 버림 받은 안타까운 톱배우! #연예계이슈 #연예인 #이슈","이슈찾아요",https://www.youtube.com/shorts/3uxN7EjBYW0
2310727,"수영 신기록 세운 아이돌 #코르티스 #CORTIS #건호 #케이팝 #아이돌 #빅히트","노빠꾸패밀리",https://www.youtube.com/shorts/CmYPcqFPR8Q
1691465,"결국 본인 등판한 '동태눈 챌린지'","김팩트",https://www.youtube.com/shorts/KCNkkJNAWLY
3492031,"61세 나이에 9살 연상 남자와 결혼한 여가수 #연예계이슈 #연예인 #이슈","이슈명탐정",https://www.youtube.com/shorts/XvPc1DYfb8M
2187536,"함소원 딸 혜정이 할머니 만나서 너무 신나","베스트오늘",https://www.youtube.com/shorts/3WM6SRZ8eN8
2860895,"월드컵 끝나고 말하라며 박문성과 기싸움하던 안정환의 한마디","스타포커스",https://www.youtube.com/shorts/SYnlO_LaTMw
1022443,"가창실력 우수학력도출중매력있는 트로트 가수아이돌 #연예인 #연예 #임영웅","덕질 연구소",https://www.youtube.com/shorts/6Z6pxb1_0Jg
4091735,"유재석과 유일하게 스캔들 났었던 여배우 #연예인 #이슈 #연예계이슈","이해불가 | 연예계 이슈",https://www.youtube.com/shorts/JwOTo0quFkY
